School Name,Board,State,City/District,Email ID,Contact Number
Army Public School Branch 89,IB,Andhra Pradesh,District 461,contact@armypublicschoolbranch89.edu.in,012-8006640
Bharatiya Convent Branch 2,IB,Arunachal Pradesh,District 661,contact@bharatiyaconventbranch2.edu.in,010-2236317
Saraswati Vidyalaya Branch 58,IGCSE,Assam,District 185,contact@saraswatividyalayabranch58.edu.in,029-4865390
Saraswati Convent Branch 82,CBSE,Bihar,District 118,contact@saraswaticonventbranch82.edu.in,088-8769284
Vivekananda Academy Branch 74,State Board,Chhattisgarh,District 582,contact@vivekanandaacademybranch74.edu.in,055-8661608
KV Convent Branch 68,NIOS,Goa,District 411,contact@kvconventbranch68.edu.in,075-8412586
Bharatiya Convent Branch 66,ICSE,Gujarat,District 75,contact@bharatiyaconventbranch66.edu.in,060-2604781
Tagore Secondary School Branch 39,IGCSE,Haryana,District 80,contact@tagoresecondaryschoolbranch39.edu.in,010-1618269
St. Joseph's International Branch 39,NIOS,Himachal Pradesh,District 396,contact@stjosephsinternationalbranch39.edu.in,070-7882579
Army Convent Branch 50,ICSE,Jharkhand,District 577,contact@armyconventbranch50.edu.in,084-6833611
Vivekananda Convent Branch 74,ICSE,Karnataka,District 139,contact@vivekanandaconventbranch74.edu.in,085-6257755
Greenwood International Branch 80,NIOS,Kerala,District 114,contact@greenwoodinternationalbranch80.edu.in,088-3878485
Navodaya International Branch 22,NIOS,Madhya Pradesh,District 580,contact@navodayainternationalbranch22.edu.in,040-7105949
Tagore International Branch 11,IGCSE,Maharashtra,District 105,contact@tagoreinternationalbranch11.edu.in,086-6998476
Global High School Branch 8,State Board,Manipur,District 469,contact@globalhighschoolbranch8.edu.in,035-8930336
Vivekananda Convent Branch 40,State Board,Meghalaya,District 570,contact@vivekanandaconventbranch40.edu.in,067-4522572
Carmel Convent Branch 69,ICSE,Mizoram,District 516,contact@carmelconventbranch69.edu.in,028-4344167
Bharatiya Secondary School Branch 85,NIOS,Nagaland,District 234,contact@bharatiyasecondaryschoolbranch85.edu.in,085-6718386
KV Public School Branch 43,NIOS,Odisha,District 616,contact@kvpublicschoolbranch43.edu.in,093-4043125
Heritage Secondary School Branch 60,State Board,Punjab,District 45,contact@heritagesecondaryschoolbranch60.edu.in,088-9475318
KV Academy Branch 36,State Board,Rajasthan,District 274,contact@kvacademybranch36.edu.in,098-5215674
Tagore International Branch 15,ICSE,Sikkim,District 473,contact@tagoreinternationalbranch15.edu.in,026-4831896
KV Convent Branch 73,IB,Tamil Nadu,District 688,contact@kvconventbranch73.edu.in,034-4454495
Navodaya International Branch 54,ICSE,Telangana,District 101,contact@navodayainternationalbranch54.edu.in,071-5179525
Saraswati Vidyalaya Branch 96,State Board,Tripura,District 202,contact@saraswatividyalayabranch96.edu.in,049-2956872
Vidya Mandir Secondary School Branch 40,NIOS,Uttar Pradesh,District 250,contact@vidyamandirsecondaryschoolbranch40.edu.in,072-9336663
Navodaya Secondary School Branch 83,State Board,Uttarakhand,District 254,contact@navodayasecondaryschoolbranch83.edu.in,066-6825687
Vidya Mandir Convent Branch 61,CBSE,West Bengal,District 417,contact@vidyamandirconventbranch61.edu.in,020-7632530
Government Convent Branch 73,State Board,Andaman and Nicobar Islands,District 319,contact@governmentconventbranch73.edu.in,032-4011563
Bharatiya Secondary School Branch 9,IGCSE,Chandigarh,District 346,contact@bharatiyasecondaryschoolbranch9.edu.in,059-3615084
Adarsh Convent Branch 63,CBSE,Dadra and Nagar Haveli,District 100,contact@adarshconventbranch63.edu.in,027-3886027
Greenwood High School Branch 66,NIOS,Lakshadweep,District 175,contact@greenwoodhighschoolbranch66.edu.in,051-2101352
Heritage Vidyalaya Branch 20,NIOS,Delhi,District 31,contact@heritagevidyalayabranch20.edu.in,030-9811791
Government High School Branch 16,NIOS,Puducherry,District 267,contact@governmenthighschoolbranch16.edu.in,018-3472652
KV International Branch 85,IB,Ladakh,District 280,contact@kvinternationalbranch85.edu.in,014-8959235
New Era Convent Branch 99,IB,Jammu and Kashmir,District 333,contact@neweraconventbranch99.edu.in,037-2571669
Model International Branch 52,NIOS,Andhra Pradesh,District 566,contact@modelinternationalbranch52.edu.in,010-2460612
KV Academy Branch 27,CBSE,Arunachal Pradesh,District 540,contact@kvacademybranch27.edu.in,041-8963336
Government Public School Branch 44,NIOS,Assam,District 669,contact@governmentpublicschoolbranch44.edu.in,097-4202945
Saraswati Secondary School Branch 74,State Board,Bihar,District 282,contact@saraswatisecondaryschoolbranch74.edu.in,086-1846544
Carmel Academy Branch 53,IGCSE,Chhattisgarh,District 568,contact@carmelacademybranch53.edu.in,013-1146754
KV Secondary School Branch 8,IGCSE,Goa,District 338,contact@kvsecondaryschoolbranch8.edu.in,062-8615026
KV Convent Branch 55,IB,Gujarat,District 71,contact@kvconventbranch55.edu.in,080-9417082
Tagore Vidyalaya Branch 93,IB,Haryana,District 132,contact@tagorevidyalayabranch93.edu.in,077-5567876
Saraswati Academy Branch 42,NIOS,Himachal Pradesh,District 368,contact@saraswatiacademybranch42.edu.in,074-1493448
Saraswati Public School Branch 18,NIOS,Jharkhand,District 357,contact@saraswatipublicschoolbranch18.edu.in,022-9136625
Global International Branch 3,IGCSE,Karnataka,District 282,contact@globalinternationalbranch3.edu.in,012-7189503
Carmel Convent Branch 4,IGCSE,Kerala,District 631,contact@carmelconventbranch4.edu.in,053-4748519
Government Public School Branch 76,NIOS,Madhya Pradesh,District 96,contact@governmentpublicschoolbranch76.edu.in,097-1951349
New Era Secondary School Branch 30,ICSE,Maharashtra,District 499,contact@newerasecondaryschoolbranch30.edu.in,028-8355585
Bharatiya Academy Branch 79,ICSE,Manipur,District 389,contact@bharatiyaacademybranch79.edu.in,039-6533000
Vidya Mandir High School Branch 83,IGCSE,Meghalaya,District 18,contact@vidyamandirhighschoolbranch83.edu.in,030-6669665
Saraswati Academy Branch 52,NIOS,Mizoram,District 71,contact@saraswatiacademybranch52.edu.in,039-6620142
Vidya Mandir Vidyalaya Branch 89,CBSE,Nagaland,District 12,contact@vidyamandirvidyalayabranch89.edu.in,011-6036568
Heritage Academy Branch 48,NIOS,Odisha,District 198,contact@heritageacademybranch48.edu.in,038-8328236
Bharatiya International Branch 59,CBSE,Punjab,District 179,contact@bharatiyainternationalbranch59.edu.in,086-4012902
Carmel Convent Branch 20,ICSE,Rajasthan,District 359,contact@carmelconventbranch20.edu.in,085-6662284
St. Joseph's Academy Branch 63,IGCSE,Sikkim,District 404,contact@stjosephsacademybranch63.edu.in,043-3496824
Model Vidyalaya Branch 4,CBSE,Tamil Nadu,District 61,contact@modelvidyalayabranch4.edu.in,073-3877164
St. Joseph's High School Branch 31,IGCSE,Telangana,District 672,contact@stjosephshighschoolbranch31.edu.in,094-3883172
Carmel Secondary School Branch 26,IGCSE,Tripura,District 460,contact@carmelsecondaryschoolbranch26.edu.in,034-8176478
New Era Academy Branch 21,NIOS,Uttar Pradesh,District 665,contact@neweraacademybranch21.edu.in,040-5871883
Model Vidyalaya Branch 3,CBSE,Uttarakhand,District 367,contact@modelvidyalayabranch3.edu.in,044-5667257
Greenwood Primary School Branch 54,State Board,West Bengal,District 351,contact@greenwoodprimaryschoolbranch54.edu.in,097-6069667
Government Secondary School Branch 48,CBSE,Andaman and Nicobar Islands,District 30,contact@governmentsecondaryschoolbranch48.edu.in,079-8343963
Heritage Vidyalaya Branch 25,CBSE,Chandigarh,District 381,contact@heritagevidyalayabranch25.edu.in,052-1497655
St. Joseph's Vidyalaya Branch 73,IB,Dadra and Nagar Haveli,District 525,contact@stjosephsvidyalayabranch73.edu.in,055-7645777
Adarsh Public School Branch 76,NIOS,Lakshadweep,District 653,contact@adarshpublicschoolbranch76.edu.in,088-6815214
Army Public School Branch 3,ICSE,Delhi,District 78,contact@armypublicschoolbranch3.edu.in,098-9392587
Carmel International Branch 71,CBSE,Puducherry,District 448,contact@carmelinternationalbranch71.edu.in,012-6460644
Vivekananda High School Branch 45,IGCSE,Ladakh,District 139,contact@vivekanandahighschoolbranch45.edu.in,073-8061635
Vidya Mandir High School Branch 97,IGCSE,Jammu and Kashmir,District 583,contact@vidyamandirhighschoolbranch97.edu.in,011-5760566
St. Joseph's International Branch 92,State Board,Andhra Pradesh,District 638,contact@stjosephsinternationalbranch92.edu.in,074-9295365
